word,definition
lip,Anatomy   Either of two fleshy folds that surround the opening of the mouth.
lis,A controversy; a litigation.
lit,A past tense and a past participle of light1.  See Usage Note at light1.
lob,"To hit, throw, or propel in a high arc:  lob a beach ball; lob a tennis shot over an opponent's head. "
log,A usually large section of a trunk or limb of a fallen or felled tree.
loo,A card game in which each player contributes stakes to a pool.
lop,"To cut off (a part), especially from a tree or shrub:  lopped off the dead branches. "
lor,No definition found.
lot,"Informal   A large extent, amount, or number. Often used in the plural:  is in a lot of trouble; has lots of friends. "
low,Having little relative height; not high or tall.
lox,Smoked salmon.
lud,A Middle English form of loud.
lug,A handle or projection used as a hold or support.
lum,A chimney.
lun,No definition found.
luv,deliberate misspelling of love
